InstitutionName,RDRank,PatentsRank,ResearchRank,NationalRank
University of Tulsa,148,141,1709,289
Fordham University,149,112,1115,225
Delaware State University,150,232,2759,360
New Mexico Institute of Mining and Technology,151,122,1479,300
Albany Medical College,152,119,1123,255
Illinois State University,153,173,1367,282
Northern Illinois University,154,126,748,184
Villanova University,155,166,1192,224
Idaho State University,156,167,1584,317
Marshall University,157,168,1663,305
Florida Institute of Technology,158,153,924,216
Miami University,159,139,926,185
Duquesne University,160,97,1784,334
Rosalind Franklin University of Medicine and Science,161,160,1796,339
Meharry Medical College,162,196,3569,360
Tuskegee University,163,211,2918,360
Hampton University,164,156,1224,265
Humboldt State University,166,212,1614,360
University of New Orleans,167,131,1433,295
New York Medical College,169,130,1029,234
South Dakota School of Mines and Technology,170,134,1923,328
Clarkson University,171,155,1303,271
Central Michigan University,172,157,1419,291
Oakland University,173,152,1119,253
Bowling Green State University,174,136,1156,258
North Carolina Central University,175,186,1863,360
Western Washington University,176,197,1494,303
Rowan University,177,235,1558,314
Tennessee Technological University,178,198,1599,360
Bryn Mawr College,179,187,2978,360
Western Kentucky University,180,161,1845,346
Virginia State University,181,236,3346,360
Chapman University,182,237,1586,316
Wellesley College,183,199,1648,320
East Tennessee State University,184,177,1623,323
Wesleyan University,185,238,1483,186
Ball State University,186,169,1389,279
Fairfield University,187,213,1381,278
Clark University,188,200,1334,242
Arkansas State University,189,178,2051,360
Salisbury University,190,174,2473,360
Texas Christian University,192,179,1352,283
Grand Valley State University,193,214,1069,360
University of North Florida,194,162,1875,350
Eastern Michigan University,195,163,1364,360
Western University of Health Sciences,196,201,1892,360
Smith College,197,239,1872,228
Pace University,198,215,1175,360
Appalachian State University,199,216,1568,315
Kettering University,200,202,2830,332
Harvey Mudd College,201,203,1935,360
Sam Houston State University,202,204,1882,352
Mount Holyoke College,203,240,1850,360
Lewis & Clark College,204,189,2419,360
Jacksonville State University,205,241,3722,360
Milwaukee School of Engineering,206,164,3687,360
Trinity University,207,205,1950,296
Yeshiva University,208,51,230,71
James Madison University,209,175,1544,311
New York Institute of Technology,210,106,1371,360
Alfred University,211,114,3472,360
Towson University,213,242,1678,324
Pepperdine University,214,243,1400,202
University of Louisiana at Monroe,215,206,3511,360
Long Island University,216,218,1508,360
Pittsburg State University,217,158,2864,360
University of the Pacific,219,207,1876,347
Spelman College,220,176,3644,360
Eastern Washington University,221,220,2682,360
Lawrence Technological University,222,190,2855,360
Connecticut College,223,244,3079,360
Bradley University,224,208,1681,360
University of Hartford,225,209,2376,360
Siena College,227,246,2707,360
Indiana State University,230,248,1865,360
University of Portland,234,182,2906,360
Weber State University,235,191,1272,360
Manhattan College,236,221,1325,231
Ferris State University,239,251,3763,360
Touro College,240,252,3173,360
College of the Holy Cross,241,253,2094,214
Fairleigh Dickinson University,242,254,2238,360
Widener University,245,256,2220,360
Butler University,247,257,2135,360
Valdosta State University,251,259,2393,360
Adelphi University,254,210,1325,360
University of Scranton,255,171,2360,360
